discipline,year,semester,week_day,time,room,,,,,,,,,
Applied Mathematics,2019,Spring,Wednesday,4-5 PM,MATH 110,,,,,,,,,
discipline,year,semester,month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
Applied Mathematics,2019,Spring,1,22,Tuesday,3:30 PM,ELECE 101,Vyron Vellis,Department of Mathematics,University of Connecticut,https://sites.google.com/site/vyronvellis/,DoubleT.jpg,Metric Spaces with Good Parameterizations,jan22.txt
Applied Mathematics,2019,Spring,1,24,Thursday,3:30 PM,ELECE 101,Hung Tran,Department of Mathematics and Statistics,Texas Tech University,http://www.myweb.ttu.edu/tra97432/,DoubleT.jpg,Geometric Partial Differential Equations,jan24.txt
Applied Mathematics,2019,Spring,1,30,Wednesday,4:00 PM,MATH 110,Wei Guo,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,High Order Methods on Sparse Grids for High-Dimensional Partial Differential Equations,jan30.txt
Applied Mathematics,2019,Spring,2,6,Wednesday,4:00 PM,MATH 110,Akif Ibraguimov,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~aibragui/,DoubleT.jpg,Dynamics of Base Line Interaction for Algae-Daphnie Depending on Time Availability,feb06.txt
Applied Mathematics,2019,Spring,3,6,Wednesday,4:00 PM,MATH 110,Wenjing Zhang,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~wenjinzh/,DoubleT.jpg,Multiple Attractors in an Epidemiological Model: Multiple Outbreak Cycles May Be an Intrinsic Effect,mar06.txt
Applied Mathematics,2019,Spring,3,19,Wednesday,3:30 PM,ELECE 101,W. Brent Lindquist,Department of Mathematics and Statistics,Texas Tech University,http://www.depts.ttu.edu/artsandsciences/DeanOffice/aboutLindquist.php,DoubleT.jpg,A Dynamical System for Gas Phase Cycling in Porous Media,mar19.txt
Applied Mathematics,2019,Spring,4,3,Wednesday,4:00 PM,MATH 110,Joshua Padgett,Department of Mathematics and Statistics,Texas Tech University,http://myweb.ttu.edu/jopadget/,DoubleT.jpg,Semi-analytic Methods for the Approximation of Abstract Fractional Extension Problems,apr03.txt
Applied Mathematics,2019,Spring,4,10,Wednesday,4:00 PM,MATH 110,Chunmei Wang,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~chunmwan/,DoubleT.jpg,Primal-Dual Weak Galerkin Finite Element Methods for Ill-posed Elliptic Cauchy Problems,apr10.txt
Applied Mathematics,2019,Spring,4,17,Wednesday,4:00 PM,MATH 110,Yuan Liu,Department of Mathematics and Statistics,Mississippi State University,http://yl686.math.msstate.edu/,DoubleT.jpg,TBA,apr17.txt
Applied Mathematics,2019,Spring,4,24,Wednesday,4:00 PM,MATH 110,Katharine Long,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~klong/,DoubleT.jpg,A Path Integration Approach to Structural Sensitivity for Dynamical Models in Biology and Astronomy,apr24.txt
